px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.51368	-1.72791e-09	1.77045	4.15406e-11	4.61548e-11	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	4.02433
1.60743	3.67194e-09	2.17984	-1.28164e-10	-2.04255e-10	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.42118
3.86912	-0.128815	2.46741	-0.0986462	-0.0696352	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.283962
3.92873	0.0722438	2.46208	0.0546631	0.0372248	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.12809
6.81225	0.405607	3.14455	0.180146	0.107938	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.44168
6.70479	0.435539	2.66771	0.217663	0.151799	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.3783
9.08948	0.61411	2.41925	0.0656067	-0.0733011	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.557058
9.06313	0.680821	2.5118	0.106457	-0.0411143	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.21479
11.5573	1.63962	2.77691	0.52343	0.298847	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.07444
11.5337	1.60769	2.72628	0.506959	0.289059	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.442675
13.6127	2.3475	2.14938	0.418048	0.0277488	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.34218
13.6506	2.32423	2.47454	0.380445	-0.00941768	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.45988
16.5788	2.89845	3.25097	0.039063	-0.254855	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.4196
16.5017	2.87304	2.91778	0.0310177	-0.272303	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.28833
19.03	3.67901	2.56335	0.325671	0.12844	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.50311
19.0904	3.70172	2.5851	0.345004	0.147688	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.25235
21.3287	4.73016	2.62494	0.507659	0.15804	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.00546071
21.3994	4.74012	2.86165	0.483251	0.127369	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.962189
24.0625	5.57988	2.90795	0.247864	-0.137293	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.553131
24.1671	5.61297	3.09667	0.231977	-0.151152	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.97263
26.632	6.94587	2.78756	0.536003	0.178331	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.11249
26.638	6.93566	3.00476	0.509708	0.133431	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.483949
29.5518	8.08687	3.33288	0.309439	-0.124426	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.873658
29.5272	8.0791	3.12885	0.313338	-0.122517	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.300414
31.9609	9.8609	2.96627	0.730922	0.274069	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.27925
31.928	9.83617	3.01723	0.706875	0.237127	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.830839
34.602	10.734	2.6117	0.237132	-0.287198	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.42803
34.7063	10.7804	2.93971	0.216734	-0.296354	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.71449
37.1596	12.0616	2.69043	0.502771	0.131118	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.60234
37.2507	12.0819	3.015	0.498441	0.109704	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.76775
40.2791	13.4517	3.62519	0.378493	-0.0732894	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.3801
40.1896	13.42	3.16656	0.392558	-0.0608741	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.87161
42.7757	14.8244	3.08701	0.517298	0.0754969	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.161071
42.7603	14.8195	3.15033	0.511819	0.0644223	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.270685
45.3466	16.5439	3.32662	0.632704	0.103651	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0991655
45.3847	16.5582	3.29627	0.63589	0.114218	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.765228
48.1681	17.3222	2.72076	0.195405	-0.287933	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	1.96203
48.1464	17.3226	2.77431	0.207205	-0.27324	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.281317
50.6178	19.0263	2.7977	0.797861	0.375579	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.17157
50.6218	18.9996	3.03037	0.747377	0.295033	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.672028
53.6853	19.9249	2.85651	0.0900956	-0.418504	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.06488
53.6557	19.9159	2.83604	0.101901	-0.406429	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.26198
56.0523	21.0498	2.39257	0.465114	0.160193	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.99332
56.0417	21.0289	2.61266	0.441035	0.123475	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.769218
58.6363	21.7886	2.85969	0.226901	-0.129636	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.678704
58.6395	21.7916	2.87713	0.228149	-0.127894	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0144905
60.9001	22.7796	2.51409	0.413392	0.0910555	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.734471
60.8861	22.7688	2.63938	0.403151	0.0771768	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.460068
63.3716	23.4166	2.70217	0.210648	-0.119827	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.300548
63.4384	23.4361	2.6472	0.197126	-0.140201	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.16854
66.2985	23.9818	3.19401	0.182222	-0.0400439	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.979728
66.1784	23.9351	2.56283	0.14024	-0.0958768	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.39095
68.2856	24.3554	2.23969	0.178565	-0.00374733	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.352581
68.3789	24.3887	2.4968	0.200361	0.0188772	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.00634
70.8135	24.8806	2.68305	0.218165	0.019297	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.102986
70.7648	24.8611	2.38029	0.204786	-0.00115795	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.659551
72.9074	24.7356	2.16247	-0.136822	-0.244782	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.608882
72.959	24.7591	2.31176	-0.117474	-0.21883	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.652886
75.0058	25.2246	2.00669	0.278706	0.2145	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.58501
74.9993	25.2198	2.03554	0.274414	0.210521	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0401571
77.1123	24.9708	1.98717	-0.228504	-0.291502	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.95593
77.1306	24.9725	1.96301	-0.2403	-0.309541	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.181882
79.0837	25.0017	1.94152	0.0738391	0.131634	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.58841
79.0883	25.0073	1.86462	0.075054	0.131304	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.102399
80.8121	24.8857	1.80528	-0.0523346	-0.0459001	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.266932
80.8522	24.8922	1.705	-0.0648905	-0.07252	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.08649
82.6053	24.6407	1.93292	-0.168913	-0.0885908	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.149961
82.5808	24.629	1.7572	-0.202322	-0.130957	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.235594
84.169	24.5328	1.68146	-0.0357191	0.0682956	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.311271
84.1746	24.5351	1.63974	-0.0364256	0.0649014	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0590775
85.6487	23.8442	1.57729	-0.532382	-0.310832	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.13569
85.7095	23.8702	1.73539	-0.485731	-0.256444	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.863155
86.9513	23.4968	1.28484	-0.36647	-0.0156119	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.852708
87.0658	23.5295	1.36221	-0.29019	0.0397878	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.78668
88.7798	22.8066	2.06603	-0.440783	-0.0814538	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.37035
88.7028	22.774	1.83825	-0.544053	-0.194542	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.21341
89.5485	22.2782	0.942374	-0.625347	-0.159149	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.03863
89.6139	22.2908	1.11756	-0.565908	-0.100102	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.868312
90.5064	21.6662	1.18008	-0.620833	-0.0686544	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0223797
90.5958	21.6883	1.33687	-0.512096	0.0242415	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.77396
91.711	21.1114	1.37699	-0.403449	0.0782434	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0341796
91.7645	21.1261	1.24899	-0.400751	0.0503245	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.97091
92.8527	20.934	1.17648	-0.0678144	0.230314	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.271277
92.919	20.9565	1.04759	-0.0335976	0.2419	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.44652
93.5069	20.2877	0.509581	-0.632757	-0.273968	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	3.24906
93.5877	20.3232	0.916337	-0.55868	-0.188461	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.81545
95.2186	19.6564	2.03193	-0.113218	0.223701	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.11087
95.0286	19.6373	1.30359	-0.416646	-0.0133464	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	6.86364
95.5605	19.6634	0.399981	-0.13256	0.149402	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	2.31006
95.5941	19.6513	0.699588	-0.120093	0.164442	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.582407
96.2626	19.2253	0.771909	-0.574972	-0.211326	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.33267
96.3148	19.243	0.94087	-0.512339	-0.153977	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.604933
97.4754	18.7251	1.49249	-0.319744	0.0570165	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.34805
97.4383	18.7179	1.24303	-0.415718	-0.0285877	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.533524
98.2301	18.3645	0.934351	-0.380438	0.00354637	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.258174
98.2528	18.3691	0.926675	-0.370513	0.00621814	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.205165
99.0452	17.4185	1.23257	-1.11894	-0.453587	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.85365
99.0651	17.4847	1.3671	-0.838157	-0.155694	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.71796
99.9762	16.9564	1.02958	-0.554485	0.121105	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.934126
100.059	16.9704	1.07097	-0.482455	0.168936	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.8917
101.181	16.5348	1.34577	-0.224233	0.226867	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.263191
101.154	16.5329	1.12854	-0.263554	0.179591	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.334042
102.365	16.3915	1.38498	0.0456897	0.259621	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.269173
102.278	16.3814	1.09838	0.0124016	0.231429	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.52775
103.033	15.4396	0.622254	-0.945341	-0.480923	103.003	15.353	103.119	15.4967	1.11708	-0.508169	4.6889
103.016	15.5037	1.04616	-0.74062	-0.241066	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	4.77491
104.061	15.2317	1.01268	-0.165217	0.262635	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	2.08747
104.038	15.2129	1.18006	-0.181694	0.253816	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.719659
105.502	14.4862	1.78807	-0.632494	-0.172211	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.17325
105.455	14.4766	1.71909	-0.650532	-0.186614	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.582755
106.816	14.0193	1.41603	-0.304647	0.149954	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.06134
106.766	14.0049	1.50031	-0.328829	0.138755	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.21602
108.084	13.6581	1.47762	-0.15693	0.160798	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.00458753
108.1	13.6593	1.55648	-0.147191	0.172486	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0543565
109.533	13.57	1.5755	0.0485292	0.187484	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.00304107
109.494	13.5647	1.50262	0.0413841	0.181886	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.36108
111.055	12.6422	1.52804	-0.787938	-0.471444	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	3.18666
111.155	12.7156	1.97225	-0.62033	-0.254631	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	3.18314
112.891	12.4465	1.5533	-0.106356	0.259336	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.36578
112.898	12.4341	1.74198	-0.102152	0.26259	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.286272
114.776	12.5448	2.07274	0.222795	0.301301	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.3508
114.782	12.5499	1.9353	0.232477	0.308402	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.300011
116.686	12.1473	1.69282	-0.258488	-0.218621	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	2.18784
116.745	12.1816	2.09349	-0.222082	-0.154657	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.19604
118.925	11.9881	2.35208	-0.0334933	0.0898264	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.678942
118.908	11.9897	2.23134	-0.0395288	0.0840412	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.106362
120.718	12.2827	1.91057	0.245719	0.223203	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.420296
120.772	12.2829	2.13328	0.240213	0.214645	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.583777
123.49	12.8194	3.09568	0.164025	-0.00359685	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.17713
